Ticket_ID,Date,Category,Intent,Channel,Handling_Time_Min,Priority,AI_Automatable
1,2026-09-01,Billing,Question,Email,12,1,Yes
2,2026-09-01,Technical,Complaint,Email,15,2,Yes
3,2026-09-02,Refund,Request,Chat,10,1,Yes
4,2026-09-02,Sales,Lead,Web,8,1,Yes
5,2026-09-03,Technical,Question,Chat,11,1,Yes
6,2026-09-03,Billing,Complaint,Email,14,2,Yes
7,2026-09-04,Account,Request,Web,9,1,Yes
8,2026-09-04,Refund,Question,Email,13,1,Yes
9,2026-09-05,Technical,Complaint,Web,16,2,Yes
10,2026-09-05,Sales,Lead,Chat,7,1,Yes
11,2026-09-06,Billing,Question,Chat,9,1,Yes
12,2026-09-06,Account,Complaint,Email,13,2,Yes
13,2026-09-07,Refund,Request,Web,11,1,Yes
14,2026-09-07,Technical,Question,Email,10,1,Yes
15,2026-09-08,Sales,Lead,Web,8,1,Yes
16,2026-09-08,Billing,Complaint,Chat,12,1,Yes
17,2026-09-09,Account,Request,Email,9,1,Yes
18,2026-09-09,Refund,Complaint,Email,15,2,Yes
19,2026-09-10,Technical,Question,Chat,10,1,Yes
20,2026-09-10,Sales,Lead,Web,7,1,Yes
